class_name,total_true_positives,total_false_positives,total_false_negatives,total_predictions,total_ground_truth_objects,precision,recall,f1_score
aeroplane,8,2,1,10,9,0.8,0.8888888888888888,0.8421052631578948
bicycle,4,0,0,4,4,1.0,1.0,1.0
bird,9,1,2,10,11,0.9,0.8181818181818182,0.8571428571428572
boat,13,18,4,31,17,0.41935483870967744,0.7647058823529411,0.5416666666666666
bottle,7,2,4,9,11,0.7777777777777778,0.6363636363636364,0.7000000000000001
bus,12,3,5,15,17,0.8,0.7058823529411765,0.7500000000000001
car,14,9,4,23,18,0.6086956521739131,0.7777777777777778,0.6829268292682927
cat,8,3,0,11,8,0.7272727272727273,1.0,0.8421052631578948
chair,13,15,8,28,21,0.4642857142857143,0.6190476190476191,0.5306122448979592
cow,7,3,0,10,7,0.7,1.0,0.8235294117647058
diningtable,6,2,0,8,6,0.75,1.0,0.8571428571428571
dog,6,0,2,6,8,1.0,0.75,0.8571428571428571
horse,6,1,0,7,6,0.8571428571428571,1.0,0.923076923076923
motorbike,8,0,2,8,10,1.0,0.8,0.888888888888889
person,42,28,4,70,46,0.6,0.9130434782608695,0.7241379310344828
pottedplant,15,6,9,21,24,0.7142857142857143,0.625,0.6666666666666666
sheep,9,2,0,11,9,0.8181818181818182,1.0,0.9
sofa,4,8,2,12,6,0.3333333333333333,0.6666666666666666,0.4444444444444444
train,4,0,0,4,4,1.0,1.0,1.0
tvmonitor,3,3,0,6,3,0.5,1.0,0.6666666666666666
