class_id,class_name,total_intersection_pixels,total_union_pixels,mean_per_image_iou,std_per_image_iou,num_images,dataset_iou,is_foreground
0,background,12147820,13042447,0.9286590935928529,0.15298570132466663,100,0.9314065067697802,False
1,aeroplane,84243,100762,0.9078564138585916,0.16153554894117503,5,0.8360592286774776,True
2,bicycle,28454,75858,0.3427132301258722,0.09191527543396495,4,0.3750955733080229,True
3,bird,46756,53037,0.53097890227032,0.4616440186116862,10,0.8815732413220959,True
4,boat,106329,135031,0.7787356998838721,0.18247440139575544,5,0.7874414023446468,True
5,bottle,80431,89161,0.45266017812651127,0.4805441445509949,10,0.9020872354504772,True
6,bus,563150,579098,0.977489335608123,0.019231397525824846,8,0.9724606197914688,True
7,car,202618,290089,0.6880885167206118,0.4227556054116788,13,0.6984684010769109,True
8,cat,260490,275413,0.7586114177572636,0.401915012151692,10,0.945815920090918,True
9,chair,121066,417613,0.3554760103366185,0.38364935487994273,21,0.2898999791673152,True
10,cow,94140,108563,0.4922291663623022,0.5683897084075606,4,0.8671462653021748,True
11,diningtable,151403,216327,0.5589461108707905,0.36013668348837746,8,0.6998802738446889,True
12,dog,258511,284017,0.5472783031124694,0.4774161390125298,10,0.9101955164655637,True
13,horse,278432,304536,0.8346996691073931,0.2945532431732913,5,0.9142827120603148,True
14,motorbike,315211,337410,0.9304630192026145,0.03742980937136195,7,0.9342076405560001,True
15,person,836227,930667,0.7170649533783717,0.37576601438728174,39,0.8985243916459915,True
16,pottedplant,81583,126853,0.3607019879676564,0.32516277554299367,15,0.6431302373613552,True
17,sheep,136179,157505,0.7135912601965998,0.47604702535421617,4,0.8646011237738485,True
18,sofa,160893,480075,0.3126410980457492,0.3900724666268141,13,0.3351413841587252,True
19,train,94684,100001,0.9466051001221673,0.01711697512560091,3,0.946830531694683,True
20,tvmonitor,93996,112257,0.5298057692260932,0.4962179146805107,7,0.8373286298404554,True
