dataset_index,image_id,width,height,aspect_ratio
11,2007_000363,500,333,1.5015015015015014
31,2007_000904,500,375,1.3333333333333333
88,2007_002895,500,375,1.3333333333333333
99,2007_003191,500,333,1.5015015015015014
127,2007_004166,500,332,1.5060240963855422
160,2007_005262,500,375,1.3333333333333333
165,2007_005360,500,335,1.492537313432836
167,2007_005430,500,375,1.3333333333333333
187,2007_006281,500,375,1.3333333333333333
189,2007_006317,500,375,1.3333333333333333
195,2007_006490,269,358,0.7513966480446927
196,2007_006530,500,375,1.3333333333333333
202,2007_006660,500,400,1.25
204,2007_006673,500,333,1.5015015015015014
210,2007_006899,496,500,0.992
211,2007_006900,500,375,1.3333333333333333
214,2007_007021,500,373,1.3404825737265416
215,2007_007048,500,332,1.5060240963855422
220,2007_007355,375,500,0.75
251,2007_008142,500,332,1.5060240963855422
284,2007_009436,500,347,1.440922190201729
317,2008_000103,500,375,1.3333333333333333
325,2008_000207,334,500,0.668
331,2008_000273,500,375,1.3333333333333333
352,2008_000540,500,375,1.3333333333333333
356,2008_000584,500,375,1.3333333333333333
358,2008_000595,412,500,0.824
360,2008_000645,320,240,1.3333333333333333
375,2008_000923,378,500,0.756
400,2008_001462,500,375,1.3333333333333333
431,2008_002123,500,375,1.3333333333333333
440,2008_002221,500,375,1.3333333333333333
444,2008_002258,500,333,1.5015015015015014
456,2008_002710,500,375,1.3333333333333333
469,2008_003060,500,375,1.3333333333333333
474,2008_003094,500,375,1.3333333333333333
490,2008_003523,375,500,0.75
492,2008_003585,500,375,1.3333333333333333
520,2008_004547,500,375,1.3333333333333333
544,2008_005300,500,379,1.3192612137203166
545,2008_005321,375,500,0.75
552,2008_005600,500,375,1.3333333333333333
556,2008_005679,500,400,1.25
565,2008_005843,500,375,1.3333333333333333
588,2008_006482,500,411,1.2165450121654502
613,2008_007428,500,375,1.3333333333333333
637,2009_000006,500,408,1.2254901960784315
664,2009_000553,500,333,1.5015015015015014
691,2009_001085,500,334,1.4970059880239521
699,2009_001140,500,333,1.5015015015015014
704,2009_001197,500,393,1.272264631043257
705,2009_001203,500,335,1.492537313432836
711,2009_001270,438,500,0.876
715,2009_001339,500,375,1.3333333333333333
724,2009_001481,500,333,1.5015015015015014
731,2009_001636,500,333,1.5015015015015014
732,2009_001640,375,500,0.75
761,2009_002083,500,375,1.3333333333333333
800,2009_002763,500,375,1.3333333333333333
837,2009_003317,500,326,1.5337423312883436
859,2009_003736,500,375,1.3333333333333333
860,2009_003757,500,333,1.5015015015015014
903,2009_004446,500,350,1.4285714285714286
908,2009_004561,500,375,1.3333333333333333
926,2009_004980,500,335,1.492537313432836
937,2009_005107,500,375,1.3333333333333333
949,2009_005247,500,333,1.5015015015015014
966,2010_000285,500,375,1.3333333333333333
979,2010_000588,500,375,1.3333333333333333
1039,2010_001852,500,334,1.4970059880239521
1043,2010_001933,500,375,1.3333333333333333
1048,2010_002032,500,375,1.3333333333333333
1059,2010_002203,375,500,0.75
1085,2010_002733,500,375,1.3333333333333333
1103,2010_003017,500,375,1.3333333333333333
1122,2010_003380,375,500,0.75
1123,2010_003383,500,332,1.5060240963855422
1128,2010_003634,375,500,0.75
1134,2010_003717,500,375,1.3333333333333333
1143,2010_003925,500,353,1.4164305949008498
1152,2010_004071,500,391,1.278772378516624
1161,2010_004186,500,375,1.3333333333333333
1179,2010_004540,500,333,1.5015015015015014
1187,2010_004683,500,333,1.5015015015015014
1201,2010_004960,500,333,1.5015015015015014
1211,2010_005128,500,375,1.3333333333333333
1243,2010_005723,500,375,1.3333333333333333
1272,2011_000006,500,375,1.3333333333333333
1273,2011_000025,500,375,1.3333333333333333
1303,2011_000400,375,500,0.75
1305,2011_000449,500,329,1.5197568389057752
1324,2011_000652,500,375,1.3333333333333333
1368,2011_001621,500,375,1.3333333333333333
1369,2011_001622,500,333,1.5015015015015014
1385,2011_001895,500,375,1.3333333333333333
1390,2011_001928,500,283,1.7667844522968197
1422,2011_002464,500,375,1.3333333333333333
1442,2011_002851,500,375,1.3333333333333333
1452,2011_003038,500,375,1.3333333333333333
1460,2011_003216,400,300,1.3333333333333333
